YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WS10M,CLRSKY_SFC_SW_DWN
2022,1,1,0,0,25.08,3.87,0
2022,1,1,1,0,25.07,3.98,0
2022,1,1,2,0,25.04,3.85,0
2022,1,1,3,0,25.02,3.62,0
2022,1,1,4,0,24.98,3.38,0
2022,1,1,5,0,24.92,3.21,0
2022,1,1,6,21.98,25.08,3.23,31.77
2022,1,1,7,120.48,25.72,3.88,206.62
2022,1,1,8,259.09,26.22,4.1,425.6
2022,1,1,9,388.12,26.64,4.3,612
2022,1,1,10,516.83,26.95,4.21,758.95
2022,1,1,11,459.78,27.12,3.83,840
2022,1,1,12,304.09,27.12,3.35,894.38
2022,1,1,13,250.67,27.05,2.83,820.77
2022,1,1,14,242.14,26.82,2.37,690.9
2022,1,1,15,179.69,26.51,2.28,499.95
2022,1,1,16,116.65,26.13,2.32,279.1
2022,1,1,17,34.44,25.74,2.45,77.4
2022,1,1,18,0,25.33,2.72,0
2022,1,1,19,0,25.15,3.17,0
2022,1,1,20,0,25.01,3.38,0
2022,1,1,21,0,24.84,3.33,0
2022,1,1,22,0,24.7,3.24,0
2022,1,1,23,0,24.58,3.13,0
2022,1,2,0,0,24.45,2.91,0
2022,1,2,1,0,24.33,2.68,0
2022,1,2,2,0,24.26,2.51,0
2022,1,2,3,0,24.21,2.39,0
2022,1,2,4,0,24.17,2.17,0
2022,1,2,5,0,24.21,2.02,0
2022,1,2,6,14.77,24.51,1.84,30.05
2022,1,2,7,28.2,25.36,1.96,199.48
2022,1,2,8,42.28,26.29,1.93,413.15
2022,1,2,9,52.74,27.13,1.71,618.55
2022,1,2,10,62.02,27.62,1.45,781.92
2022,1,2,11,71.32,27.86,1.34,865
2022,1,2,12,86.62,28.03,1.4,887.55
2022,1,2,13,75.79,28.13,1.6,830.23
2022,1,2,14,63.91,27.98,1.91,712.33
2022,1,2,15,50.23,27.54,2.17,524.15
2022,1,2,16,31.96,27.07,2.3,301.7
2022,1,2,17,28.52,26.48,2.19,84.55
2022,1,2,18,0,25.88,2.22,0
2022,1,2,19,0,25.6,2.65,0
2022,1,2,20,0,25.37,3.07,0
2022,1,2,21,0,25.16,3.42,0
2022,1,2,22,0,24.96,3.44,0
2022,1,2,23,0,24.77,3.35,0
2022,1,3,0,0,24.64,3.49,0
2022,1,3,1,0,24.52,3.73,0
2022,1,3,2,0,24.43,4.02,0
2022,1,3,3,0,24.36,4.33,0
2022,1,3,4,0,24.28,4.32,0
2022,1,3,5,0,24.22,4,0
2022,1,3,6,22.48,24.37,3.76,30.25
2022,1,3,7,93.19,24.88,3.68,207.05
2022,1,3,8,216.62,25.33,3.4,432
2022,1,3,9,398.7,25.86,3.51,630.7
2022,1,3,10,495.09,26.3,3.65,774.3
2022,1,3,11,560.32,26.69,3.47,866.7
2022,1,3,12,587.21,27.06,3.33,926.2
2022,1,3,13,556.46,27.3,3.32,858.62
2022,1,3,14,402.13,27.37,3.21,722.55
2022,1,3,15,325.68,27.21,2.77,523.9
2022,1,3,16,191.22,26.92,2.45,296.62
2022,1,3,17,69.4,26.4,2.28,80.05
2022,1,3,18,0,25.73,2.3,0
2022,1,3,19,0,25.45,2.53,0
2022,1,3,20,0,25.2,2.74,0
2022,1,3,21,0,24.92,2.89,0
2022,1,3,22,0,24.67,3.01,0
2022,1,3,23,0,24.45,3.13,0
2022,1,4,0,0,24.28,3.17,0
2022,1,4,1,0,24.15,3.1,0
2022,1,4,2,0,24.06,3.05,0
2022,1,4,3,0,24.05,3.14,0
2022,1,4,4,0,24.08,3.21,0
2022,1,4,5,0,24.08,3.16,0
